Hello! Here are the QC parameters Minimum area for a real peak: 40000. RT flexibility: 2.5 minutes. Blank can be this fraction of a sample: 3. S/N ratio: 3. Parts per million flexibility: 6. Processed on: 2024-04-15 16:22:18.091926. 
"","molecule_list_name","replicate_name","precursor_ion_name","retention_time","area","background","height","mass_error_ppm","molecule_list","flags","QC_area"
"1","Neg_Standards","240304_Std_4uMStdsMix1InH2O_1","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"2","Neg_Standards","240304_Std_4uMStdsMix1InH2O_2","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"3","Neg_Standards","240304_Std_4uMStdsMix1InMatrix_1","unknown_C6H9NO4_neg",3.83,31079368,0,930208,-1.8,"Neg_Standards","blank_flag",NA
"4","Neg_Standards","240304_Std_4uMStdsMix1InMatrix_2","unknown_C6H9NO4_neg",3.36,21098040,3563584,552096,-1.4,"Neg_Standards","blank_flag",NA
"5","Neg_Standards","240304_Std_4uMStdsMix2InH2O_1","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"6","Neg_Standards","240304_Std_4uMStdsMix2InH2O_2","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"7","Neg_Standards","240304_Std_4uMStdsMix2InMatrix_1","unknown_C6H9NO4_neg",3.82,32438620,0,1016830,-1.3,"Neg_Standards","blank_flag",NA
"8","Neg_Standards","240304_Std_4uMStdsMix2InMatrix_2","unknown_C6H9NO4_neg",3.38,26518824,0,633488,-1.4,"Neg_Standards","blank_flag",NA
"9","Neg_Standards","240304_Std_H2OinMatrix_1","unknown_C6H9NO4_neg",3.84,33825392,0,1077174,-1.6,"Neg_Standards","blank_flag",NA
"10","Neg_Standards","240304_Std_H2OinMatrix_2","unknown_C6H9NO4_neg",3.46,27581128,0,628341,-1.3,"Neg_Standards","blank_flag",NA
"11","Neg_Standards","240304_Poo_EpicFate_Full1","unknown_C6H9NO4_neg",3.94,45113892,0,1410394,-1.6,"Neg_Standards","blank_flag",NA
"12","Neg_Standards","240304_Poo_EpicFate_Full2","unknown_C6H9NO4_neg",3.6,46806348,0,1199444,-1.6,"Neg_Standards","blank_flag",NA
"13","Neg_Standards","240304_Poo_EpicFate_Full3","unknown_C6H9NO4_neg",3.58,45482304,0,1120132,-1.2,"Neg_Standards","blank_flag",NA
"14","Neg_Standards","240304_Poo_EpicFate_Half1","unknown_C6H9NO4_neg",3.89,24717764,0,914106,-1.8,"Neg_Standards","blank_flag",NA
"15","Neg_Standards","240304_Poo_EpicFate_Half2","unknown_C6H9NO4_neg",3.59,23808090,0,620644,-1.2,"Neg_Standards","blank_flag",NA
"16","Neg_Standards","240304_Poo_EpicFate_Half3","unknown_C6H9NO4_neg",3.52,17867304,4341077,560716,-0.9,"Neg_Standards","blank_flag",NA
"17","Neg_Standards","240304_Smp_ASW_A","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"18","Neg_Standards","240304_Smp_ASW_B","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"19","Neg_Standards","240304_Smp_ASW_Blk_A","unknown_C6H9NO4_neg",3.65,1541104,0,144429,2.5,"Neg_Standards","blank_flag",NA
"20","Neg_Standards","240304_Smp_ASW_C","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"21","Neg_Standards","240304_Smp_Ctrl_A1","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"22","Neg_Standards","240304_Smp_Ctrl_B3","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"23","Neg_Standards","240304_Smp_Ctrl_C2","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
"24","Neg_Standards","240304_Smp_Gluc_16_A","unknown_C6H9NO4_neg",NA,NA,NA,NA,NA,"Neg_Standards","",NA
